CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
2015013058,E416662,082,9.9,82,47.404308135200004,-123.1528202009,4,11,6,1.0,6.0,01,R,2,7,3,A,S,,A,R,P,E,19.0,41.0,,082,70.0,9.71,9.91,0,4,420,4,10,12,48,17731.0,1.29,1.79,-,3.8
2015013059,E415626,012,74.0,12,47.4538241259,-122.82114046950001,4,13,1,1.0,6.0,01,R,1,1,2,A,,Y,A,R,A,W,21.0,43.0,,012,60.0,73.90999999999998,74.89,0,10,0,2,10,12,24,6941.0,2.48,0.0,+,0.62
201501306,E392379,018,1.11,18,47.1922720396,-123.0988457568,1,13,2,1.0,1.0,01,U,1,1,2,,A,,A,U,A,W,17.0,52.0,443.0,018,60.0,0.99,1.12,5,0,15,4,10,12,48,62065.0,2.94,0.0,+,0.5
2015013060,E416799,508,9.67,508,47.4165167978,-122.8691103435,3,7,6,1.0,1.0,01,R,1,1,2,A,,N,A,R,B,W,21.0,45.0,,508,,9.65,10.15,0,2,0,2,2,11,22,2631.0,0.48,0.0,+,0.6
2015013061,E416866,119,0.61,119,47.29818519609999,-123.18138827860001,3,12,4,2.0,6.0,03,R,1,1,1,G,,N,G,R,B,W,23.0,45.0,,119,,0.14,0.8299999999999998,0,4,0,2,8,12,23,3222.0,0.8100000000000002,9.980000000000002,,0.0
2015013062,E416867,003,26.68,3,47.5534501399,-123.0316570577,4,3,5,1.0,1.0,01,R,1,1,2,A,,,A,R,A,W,23.0,43.0,,003,40.0,26.63,26.75,0,3,0,2,3,12,24,14164.0,0.62,3.98,+,3.9900000000000007
2015013063,E416868,003,0.87,3,48.3464786401,-120.0782277116,4,16,4,1.0,1.0,01,U,1,1,2,A,,,A,U,A,W,23.0,53.0,,003,40.0,0.85,0.9200000000000002,0,4,0,2,6,12,24,12337.0,0.32,7.0,-,2.0
2015013064,E416869,106,18.29,106,48.8622163809,-119.4090532458,4,14,2,1.0,1.0,01,R,1,1,2,B,,Y,B,R,B,W,23.0,45.0,,106,,17.739999999999995,18.920000000000005,0,4,0,2,4,11,22,2535.0,1.09,0.0,-,0.33
2015013065,3490739,101,338.7,101,47.241074501199996,-122.38154830219999,4,9,4,1.0,6.0,01,R,1,1,1,A,,,A,R,A,W,23.0,43.0,,101,55.0,338.68,338.74,40,3,0,2,9,11,22,6129.0,0.13,0.0,+,3.5
2015013066,3490740,101,317.99,101,47.3224021539,-122.3132566758,4,10,5,2.0,6.0,03,R,2,7,2,A,,,A,R,A,W,23.0,43.0,,101,55.0,317.63,318.58999999999986,40,3,0,2,3,11,22,1997.0,0.7,0.0,-,2.25
2015013067,E416503,020,203.48,20,47.1620179529,-122.29699752299999,4,12,7,1.0,6.0,01,R,1,1,1,B,,,B,R,B,E,24.0,44.0,,020,55.0,203.27,203.48,30,4,0,2,4,12,23,2967.0,0.23000000000000004,4.0,-,1.76
2015013068,E416599,097,311.27,97,47.10883787229999,-122.29338473790001,3,31,2,1.0,6.0,01,R,2,6,2,B,,N,B,R,B,E,24.0,43.0,,097,55.0,310.98,311.45,40,6,0,2,6,11,22,3592.0,0.62,0.0,-,0.02
2015013069,E416542,005,136.34,5,47.1610682402,-122.295964842,4,16,4,1.0,4.0,01,U,1,1,3,A,S,,A,U,A,W,27.0,51.0,450.0,005,60.0,136.19,136.45,25,10,48,8,10,12,96,204717.0,19.43,0.0,+,0.35
201501307,E392729,099,6.79,99,47.140220901999996,-122.2929608007,1,10,6,2.0,1.0,02,U,2,7,2,,S,Y,C,U,A,W,17.0,53.0,443.0,099,60.0,6.79,6.860000000000001,0,0,22,4,0,13,50,29137.0,0.74,0.0,+,0.61
2015013070,E416854,512,8.79,512,47.188012885,-122.2293780793,4,9,4,1.0,1.0,01,U,2,7,1,A,S,,A,U,A,W,27.0,52.0,1030.0,512,60.0,8.769999999999998,9.03,0,4,50,4,11,12,48,71402.0,6.78,3.82,+,0.7
2015013071,E416852,161,22.04,161,47.2375125015,-122.3968790936,4,3,5,1.0,1.0,02,U,1,1,3,C,,,C,U,A,W,27.0,53.0,,161,,22.02,22.11,0,0,0,4,0,15,58,39098.0,1.28,0.0,-,0.18
2015013073,3727980,161,24.22,161,47.223074205299994,-122.46029855290001,4,2,4,1.0,3.0,02,U,2,7,2,C,,,C,U,A,W,27.0,53.0,,161,,24.18,24.22,0,0,0,4,0,17,66,42735.0,0.62,0.0,+,5.1
2015013075,E416817,162,0.33,162,47.104303563500004,-122.5874722627,4,16,4,1.0,6.0,01,U,2,7,3,A,,Y,A,U,A,W,27.0,54.0,1270.0,162,,0.33,0.45,0,6,0,2,6,11,22,21374.0,0.9399999999999998,0.0,+,0.0
