,CASENO,FORM_REPT_NO,rd_inv,milepost,RTE_NBR,lat,lon,MONTH,DAYMTH,WEEKDAY,RDSURF,LIGHT,weather,rur_urb,REPORT,SEVERITY,veh_count,LSHL_TYP,MED_TYPE,RD_LIGHT,RSHL_TYP,RURURB,SURF_TYP,EW_IND,COUNTY,FUNC_CLS,CITY,ROAD_INV,SPD_LIMT,BEGMP,ENDMP,ACSEQ_NB,LSHLDWID,MEDWID,NO_LANES,RSHLDWID,lanewid,rdwy_wid,AADT,mvmt,deg_curv,dir_grad,pct_grad
7716,201408443,E312675,005FD12892,1.67,5,47.2437814617,-122.4297208981,3,7,5,1.0,4.0,01,U,2,7,1,C,,Y,C,U,A,W,27.0,54.0,1280.0,005FD12892,,1.61,1.68,0,0,0,4,0,12,46,,,0.0,,0.0
7717,201408445,E312385,007,48.05000000000001,7,47.1554251845,-122.4342358043,3,6,4,2.0,1.0,03,U,1,1,2,A,,Y,C,U,A,W,27.0,53.0,,007,55.0,48.05000000000001,48.12,0,6,0,4,0,14,56,38365.0,0.98,0.0,+,0.4600000000000001
7718,201408447,E312451,005,133.28,5,47.1544198473,-122.43425320989999,3,6,4,2.0,1.0,03,U,1,1,2,,A,,A,U,P,W,27.0,51.0,1280.0,005,60.0,133.06,133.35,25,0,16,7,10,12,84,158560.0,16.78,1.5,-,3.0
7719,201408448,3017542,007,56.23000000000001,7,47.1093246644,-122.43475788239999,3,7,5,1.0,1.0,01,U,1,1,2,C,,Y,C,U,A,W,27.0,53.0,1280.0,007,55.0,56.22,56.34000000000001,0,0,0,4,0,12,46,21894.0,0.96,0.0,-,0.09
7720,201408449,3610005,163,1.44,163,47.2450342037,-122.33654850479999,3,6,4,4.0,1.0,03,U,1,1,2,,S,Y,C,U,A,W,27.0,53.0,1280.0,163,,1.44,1.57,0,0,16,4,0,12,48,20245.0,0.96,0.0,,0.0
7721,201408450,E312219,007,54.85,7,47.159103253000005,-122.3061435043,3,6,4,2.0,1.0,03,U,1,1,2,C,,Y,C,U,A,W,27.0,53.0,1280.0,007,55.0,54.85,54.91,0,0,0,4,0,14,56,23915.0,0.52,0.0,-,0.14
7723,201408452,E312129,509,0.25,509,47.1474717283,-122.29295565219999,3,5,3,1.0,1.0,01,U,2,6,3,,A,,A,U,A,W,27.0,52.0,1280.0,509,50.0,0.25,0.51,1,0,10,4,8,12,48,35228.0,3.34,0.0,-,2.98
7725,201408453,E313447,005,122.63,5,47.164854686400005,-122.29679706729999,3,7,5,1.0,1.0,01,U,2,7,2,,A,,A,U,A,W,27.0,51.0,,005,60.0,122.56,122.73,25,0,12,6,10,12,72,127903.0,7.94,0.0,-,2.120000000000001
7726,201408454,E313389,007,52.34000000000001,7,47.158110758,-122.35526837379999,3,6,4,2.0,1.0,03,U,1,1,2,A,,Y,A,U,A,W,27.0,53.0,,007,55.0,52.34000000000001,52.4,0,5,0,4,5,14,56,34005.0,0.74,0.0,-,1.01
7727,201408455,E314920,509,2.5,509,47.2095884815,-122.29389915959999,3,13,4,1.0,1.0,01,U,2,7,1,,A,,A,U,A,W,27.0,52.0,1280.0,509,50.0,2.4,2.52,1,0,14,4,8,12,48,23773.0,1.04,0.9200000000000002,+,0.93
7728,201408456,E314076,007,52.27,7,47.103850053900004,-122.2934334263,3,6,4,2.0,1.0,02,U,1,1,2,C,,Y,C,U,A,W,27.0,53.0,,007,55.0,52.18,52.28,0,0,0,4,0,11,44,34005.0,1.24,0.0,-,0.6
7729,201408457,E314351,007,49.15,7,47.1636199723,-122.47968495709999,3,7,5,1.0,1.0,01,U,1,1,2,C,,Y,C,U,A,W,27.0,53.0,,007,55.0,49.11,49.17,0,0,0,4,0,11,44,28588.0,0.63,0.0,+,0.0
7730,201408458,E313517,099,1.1799999999999995,99,47.162529544799995,-122.4770686054,3,6,4,2.0,1.0,03,U,1,1,2,A,,Y,A,U,A,W,27.0,53.0,785.0,099,60.0,1.1799999999999995,1.2,0,5,0,4,8,12,47,25162.0,0.18,3.0,-,0.07000000000000002
