CASENO,DRV_SEX,DRV_AGE,drassess,spdlimit,surf_typ,contrib1,contrib2,intox,stolen,vehcond1,vehcond2,vehcond3,com_body,cdplaccd,vehno
201400132,1.0,70.0,,45.0,2.0,7,0,4.0,,12,0,0,,,1
201400132,1.0,39.0,,45.0,2.0,18,0,4.0,,12,0,0,,,2
201400132,1.0,30.0,,,2.0,18,0,4.0,,12,0,0,,,3
201400133,,,,60.0,2.0,51,0,9.0,,12,0,0,,,1
201400133,,,,,,0,0,,,0,0,0,,,2
201400134,1.0,20.0,,35.0,2.0,4,52,4.0,,12,0,0,,,1
201400135,2.0,53.0,,25.0,2.0,6,0,4.0,,12,0,0,,,1
201400135,2.0,53.0,,25.0,2.0,18,0,4.0,,12,0,0,,,2
201400136,,,,35.0,2.0,51,0,9.0,,12,0,0,,,1
201400136,,,,,,0,0,,,0,0,0,,,2
201400137,1.0,43.0,0.0,30.0,2.0,18,0,4.0,,12,0,0,,,1
201400137,,,,30.0,2.0,17,0,9.0,,12,0,0,,,2
201400138,1.0,58.0,,25.0,2.0,17,0,4.0,,12,0,0,9.0,,1
201400138,,,,,,0,0,,,0,0,0,,,2
201400139,1.0,22.0,,70.0,1.0,23,0,4.0,,12,0,0,,,1
201400139,1.0,40.0,,70.0,1.0,18,0,4.0,,12,0,0,,,2
201400140,2.0,28.0,,40.0,2.0,32,0,4.0,,12,0,0,,,1
201400140,,,,,,0,0,,,0,0,0,,,2
201400141,1.0,24.0,,55.0,2.0,23,0,3.0,,12,0,0,,,1
201400141,,,,,,0,0,,,0,0,0,,,2
201400142,1.0,32.0,,70.0,1.0,4,0,4.0,,12,0,0,,,1
201400143,1.0,43.0,,60.0,2.0,18,0,4.0,,12,0,0,,,1
201400143,2.0,31.0,,50.0,2.0,18,0,4.0,,12,0,0,,,2
201400144,1.0,39.0,,35.0,2.0,48,0,4.0,,12,0,0,,,1
201400144,2.0,28.0,,35.0,2.0,18,0,4.0,,12,0,0,,,2
201400145,2.0,20.0,,50.0,1.0,4,0,4.0,,12,0,0,,,1
201400145,2.0,21.0,,50.0,1.0,18,0,4.0,,12,0,0,,,2
201400146,1.0,25.0,,55.0,2.0,1,0,1.0,,12,0,0,,,1
